step,customer,age,gender,merchant,category,amount,fraud
31-07-2021,C1100361227,46to55,Female,M1823072687,Transportation,17.5,0
30-06-2021,C998987490,26to35,Female,M1823072687,Transportation,15.98,0
19-08-2021,C1255149927,26to35,Male,M1823072687,Transportation,26.35,0
14-06-2021,C1125717761,56to65,Male,M840466850,Technology,310.76,1
26-07-2021,C506520283,46to55,Female,M547558035,Fashion,305.05,1
19-03-2021,C1849046345,46to55,Female,M1535107174,Beauty&Wellness,362.29,1
27-07-2021,C1464489812,46to55,Male,M480139044,Health,320.75,1
09-06-2021,C1275518867,56to65,Female,M480139044,Health,426.13,1
28-05-2021,C1803182614,26to35,Male,M980657600,Sports&Toys,205.15,1
06-07-2021,C1787537369,26to35,Male,M1353266412,HotelServices,635.36,1
02-08-2021,C37682628,19to25,Male,M3697346,Leisure,303.91,1
12-05-2021,C1948728559,56to65,Female,M348934600,Transportation,17.47,0
06-04-2021,C332229910,46to55,Female,M348934600,Transportation,27.38,0
09-06-2021,C706956926,26to35,Female,M3697346,Leisure,224.41,1
08-06-2021,C983659750,26to35,Male,M1823072687,Transportation,18.71,0
13-06-2021,C197798791,26to35,Male,M1913465890,Health,59.13,0
12-03-2021,C1572610482,36to45,Female,M980657600,Sports&Toys,199.75,1
13-08-2021,C1348847019,36to45,Male,M980657600,Sports&Toys,167.62,1
05-04-2021,C1345265337,26to35,Male,M1535107174,Beauty&Wellness,475.95,1
25-07-2021,C422003518,56to65,Female,M732195782,Travel,4775.72,1
05-07-2021,C1282114843,26to35,Female,M1823072687,Transportation,25.85,0
04-05-2021,C1480064437,26to35,Female,M348934600,Transportation,4.52,0
12-08-2021,C1559339990,46to55,Male,M85975013,Groceries,55.98,0
27-08-2021,C1886871597,46to55,Female,M480139044,Health,487.12,1
15-05-2021,C1562537029,56to65,Female,M348934600,Transportation,16.19,0
10-05-2021,C396866523,36to45,Female,M348934600,Transportation,25.14,0
26-03-2021,C475624028,26to35,Male,M732195782,Travel,427.78,1
29-03-2021,C203163727,56to65,Female,M348934600,Transportation,25.48,0
18-07-2021,C1082769360,46to55,Male,M348934600,Transportation,24.7,0
19-03-2021,C1978250683,36to45,Female,M980657600,Sports&Toys,165.11,1
30-04-2021,C1093842718,26to35,Male,M1823072687,Transportation,28,0
07-06-2021,C190128751,26to35,Female,M348934600,Transportation,13.05,0
01-07-2021,C334073161,36to45,Female,M1823072687,Transportation,24.03,0
11-07-2021,C375459759,26to35,Female,M480139044,Health,26.75,1
28-05-2021,C1251749294,36to45,Female,M1823072687,Transportation,10.2,0
21-08-2021,C1234470601,56to65,Male,M348934600,Transportation,44.64,0
13-05-2021,C487569403,26to35,Male,M1823072687,Transportation,35.17,0
21-03-2021,C1760612790,36to45,Male,M151143676,Restaurants&Bars,38.91,0
15-08-2021,C299734038,56to65,Female,M1823072687,Transportation,11.58,0
14-08-2021,C1383337902,26to35,Male,M1823072687,Transportation,29.91,0
04-07-2021,C2125787399,46to55,Female,M1823072687,Transportation,40.97,0
10-04-2021,C1134333439,36to45,Male,M348934600,Transportation,15.12,0
31-07-2021,C1288983259,36to45,Female,M1823072687,Transportation,14.37,0
19-05-2021,C1096642744,56to65,Male,M480139044,Health,300.44,1
01-07-2021,C2093963973,26to35,Male,M480139044,Health,53.4,1
23-08-2021,C1952109278,19to25,Male,M1823072687,Transportation,19.53,0
05-05-2021,C1647495093,36to45,Male,M980657600,Sports&Toys,128.42,1
08-04-2021,C2110532720,36to45,Female,M348934600,Transportation,46.26,0
17-05-2021,C472989518,36to45,Male,M348934600,Transportation,31.26,0
04-08-2021,C1187353931,56to65,Female,M1823072687,Transportation,12.16,0
22-04-2021,C676156739,26to35,Female,M1823072687,Transportation,7.36,0
27-06-2021,C910454738,46to55,Female,M17379832,Sports&Toys,164.92,1
10-04-2021,C576436654,gt65,Female,M1649169323,Sports&Toys,570.25,1
12-05-2021,C1855338494,46to55,Male,M980657600,Sports&Toys,773.13,1
04-08-2021,C976232384,36to45,Male,M85975013,Groceries,57.13,0
27-08-2021,C2113737065,26to35,Female,M732195782,Travel,3631.6,1
18-07-2021,C1434012857,56to65,Female,M348934600,Transportation,27.27,0
24-07-2021,C2060410910,26to35,Female,M732195782,Travel,4345.91,1
26-03-2021,C433355159,46to55,Female,M1823072687,Transportation,6.3,0
07-07-2021,C846682077,36to45,Male,M1823072687,Transportation,30.34,0
01-04-2021,C982406682,19to25,Male,M1053599405,Health,229.44,0
31-07-2021,C1803364571,56to65,Male,M1823072687,Transportation,4.2,0
12-06-2021,C784005201,46to55,Male,M1823072687,Transportation,29.82,0
05-08-2021,C189823798,56to65,Male,M348934600,Transportation,19.53,0
20-07-2021,C380412694,19to25,Male,M151143676,Restaurants&Bars,3.3,0
29-03-2021,C605859862,56to65,Female,M480139044,Health,339.91,1
30-07-2021,C1883823119,46to55,Male,M1823072687,Transportation,10.35,0
21-08-2021,C1793075309,56to65,Male,M1823072687,Transportation,24.22,0
28-05-2021,C1590346257,19to25,Female,M85975013,Groceries,64.09,0
26-04-2021,C1739998964,26to35,Female,M1823072687,Transportation,1.86,0
11-05-2021,C1477378413,36to45,Male,M2122776122,Home,978.09,1
23-04-2021,C608244416,19to25,Female,M1823072687,Transportation,40.5,0
06-07-2021,C1581709798,26to35,Male,M480139044,Health,88.91,1
06-05-2021,C54550671,46to55,Female,M348934600,Transportation,40.39,0
02-08-2021,C1469520420,36to45,Female,M980657600,Sports&Toys,675.58,1
11-04-2021,C1991822900,36to45,Female,M1823072687,Transportation,41.78,0
30-03-2021,C454239699,36to45,Female,M348934600,Transportation,7.69,0
11-04-2021,C1155962240,26to35,Female,M1823072687,Transportation,45.46,0
18-06-2021,C152830802,26to35,Female,M1823072687,Transportation,33.93,0
17-05-2021,C489708690,gt65,Female,M1823072687,Transportation,11.24,0
31-03-2021,C823678601,26to35,Female,M348934600,Transportation,8.58,0
04-04-2021,C895105444,36to45,Female,M980657600,Sports&Toys,500.86,1
31-07-2021,C638838388,26to35,Female,M1823072687,Transportation,11.78,0
16-07-2021,C1076110991,26to35,Male,M45060432,HotelServices,27.33,0
22-06-2021,C339075311,36to45,Female,M547558035,Fashion,23.59,1
15-03-2021,C333991833,26to35,Male,M348934600,Transportation,52.94,0
08-07-2021,C1612832553,19to25,Female,M980657600,Sports&Toys,126.53,1
18-08-2021,C1872803698,36to45,Female,M1913465890,Health,186.72,0
17-07-2021,C509860014,gt65,Female,M1823072687,Transportation,20.78,0
26-05-2021,C1645168081,36to45,Female,M1823072687,Transportation,11.33,0
31-03-2021,C1415998962,26to35,Female,M1823072687,Transportation,36.77,0
16-06-2021,C1436756684,26to35,Female,M348934600,Transportation,34.06,0
11-08-2021,C1510459992,36to45,Male,M1823072687,Transportation,44.76,0
01-05-2021,C1156808163,36to45,Male,M348934600,Transportation,21.2,0
23-04-2021,C894204131,19to25,Male,M1294758098,Leisure,368.26,1
18-07-2021,C1904416498,46to55,Female,M1823072687,Transportation,32.73,0
20-08-2021,C1332295774,36to45,Male,M1873032707,HotelServices,636.65,1
14-07-2021,C1957046981,56to65,Female,M348934600,Transportation,17.51,0
06-07-2021,C404247926,56to65,Female,M348934600,Transportation,14.37,0
18-04-2021,C276623362,46to55,Male,M1823072687,Transportation,54.02,0
18-06-2021,C1994736634,46to55,Female,M480139044,Health,14.27,1
30-07-2021,C855082400,26to35,Male,M1823072687,Transportation,40.2,0
06-04-2021,C132320296,26to35,Male,M692898500,Health,81.44,0
20-05-2021,C1964602402,46to55,Male,M1535107174,Beauty&Wellness,126.61,1
19-05-2021,C639532055,46to55,Female,M348934600,Transportation,25.58,0
19-04-2021,C793132240,46to55,Female,M732195782,Travel,209.29,1
14-07-2021,C34111179,46to55,Female,M1198415165,Beauty&Wellness,13.96,1
14-04-2021,C1728122351,36to45,Female,M980657600,Sports&Toys,546.4,1
15-08-2021,C1734862058,46to55,Male,M980657600,Sports&Toys,336.29,1
29-07-2021,C1299279378,46to55,Female,M348934600,Transportation,38.97,0
24-07-2021,C789852022,26to35,Female,M1823072687,Transportation,79.25,0
22-04-2021,C1846274338,36to45,Male,M857378720,HotelServices,523.67,1
12-03-2021,C974315171,36to45,Male,M980657600,Sports&Toys,402.4,1
12-05-2021,C1763624260,gt65,Female,M1823072687,Transportation,16.09,0
06-03-2021,C1790520611,36to45,Female,M348934600,Transportation,41.7,0
21-06-2021,C377517197,36to45,Female,M1823072687,Transportation,18.89,0
15-04-2021,C806399525,26to35,Female,M732195782,Travel,2667.58,1
07-06-2021,C375459759,26to35,Female,M480139044,Health,492.21,1
05-06-2021,C211657450,19to25,Female,M1535107174,Beauty&Wellness,43.2,1
21-08-2021,C1648683269,36to45,Male,M348934600,Transportation,13.04,0
10-06-2021,C1871125244,Unknown,Enterprise,M1823072687,Transportation,1.28,0
01-06-2021,C1487582791,36to45,Male,M1823072687,Transportation,25.99,0
21-08-2021,C440694138,26to35,Female,M151143676,Restaurants&Bars,104.67,1
28-06-2021,C1087943403,36to45,Male,M1823072687,Transportation,23.83,0
01-03-2021,C62153477,36to45,Male,M1823072687,Transportation,15.58,0
21-06-2021,C483912131,26to35,Female,M480139044,Health,365.04,1
03-07-2021,C1791903269,36to45,Female,M1823072687,Transportation,44.08,0
20-03-2021,C1332125345,26to35,Female,M348934600,Transportation,31.48,0
30-07-2021,C509546455,26to35,Male,M1823072687,Transportation,56.87,0
28-07-2021,C653835530,26to35,Male,M732195782,Travel,2731.95,1
03-03-2021,C1275518867,56to65,Female,M732195782,Travel,1304.93,1
14-03-2021,C356873706,36to45,Male,M1823072687,Transportation,0.22,0
26-04-2021,C2015203999,46to55,Female,M1823072687,Transportation,12.29,0
30-03-2021,C563092648,gt65,Female,M1600850729,Fashion,44.33,0
04-05-2021,C859276623,46to55,Female,M1823072687,Transportation,34.65,0
01-07-2021,C1685492470,26to35,Female,M480139044,Health,615.85,1
10-08-2021,C1547534233,26to35,Female,M1823072687,Transportation,5.26,0
05-07-2021,C405614551,56to65,Female,M1823072687,Transportation,16.11,0
18-04-2021,C1557448113,46to55,Female,M1823072687,Transportation,45.37,0
30-06-2021,C1708261114,46to55,Female,M348934600,Transportation,39.1,0
04-03-2021,C126638730,36to45,Female,M980657600,Sports&Toys,281.12,1
19-08-2021,C2068249421,56to65,Male,M1823072687,Transportation,36.61,0
18-04-2021,C1761368684,19to25,Female,M348934600,Transportation,10.77,0
11-08-2021,C1439470393,26to35,Female,M1823072687,Transportation,29.28,0
28-03-2021,C1175850429,46to55,Male,M209847108,Beauty&Wellness,381.08,1
10-03-2021,C658175205,36to45,Female,M348934600,Transportation,48.14,0
06-06-2021,C1735726583,56to65,Male,M480139044,Health,648.77,1
16-06-2021,C632176173,26to35,Male,M1823072687,Transportation,10.95,0
06-07-2021,C169274898,36to45,Female,M1823072687,Transportation,1.23,0
24-07-2021,C1389923471,46to55,Male,M1823072687,Transportation,36.65,0
02-07-2021,C715527139,19to25,Male,M980657600,Sports&Toys,702.97,1
31-03-2021,C966984015,46to55,Male,M1823072687,Transportation,1.09,0
15-08-2021,C1974668487,26to35,Male,M1823072687,Transportation,40.79,0
28-04-2021,C200459252,19to25,Male,M85975013,Groceries,18.01,0
02-08-2021,C1651213581,36to45,Female,M85975013,Groceries,6.65,0
10-03-2021,C825744832,26to35,Male,M348934600,Transportation,25.9,0
29-07-2021,C656851338,26to35,Female,M1823072687,Transportation,31.81,0
29-07-2021,C467035555,26to35,Female,M85975013,Groceries,27.57,0
05-05-2021,C1085689043,26to35,Male,M348934600,Transportation,41.64,0
11-06-2021,C1581709798,26to35,Male,M348934600,Transportation,13.77,0
19-06-2021,C2043823425,46to55,Female,M1741626453,Sports&Toys,154.97,1
09-06-2021,C2072009750,26to35,Female,M1823072687,Transportation,8.89,0
14-03-2021,C1877622224,26to35,Male,M1198415165,Beauty&Wellness,223.42,1
15-05-2021,C1304285526,56to65,Female,M1823072687,Transportation,36.35,0
07-04-2021,C1433132752,36to45,Male,M348934600,Transportation,20.17,0
11-08-2021,C806399525,26to35,Female,M480139044,Health,42.47,1
18-07-2021,C510046708,gt65,Female,M85975013,Groceries,14.96,0
26-07-2021,C471003383,36to45,Female,M1823072687,Transportation,6.71,0
07-06-2021,C719332132,26to35,Female,M1823072687,Transportation,55.25,0
13-07-2021,C296571542,26to35,Female,M980657600,Sports&Toys,3.37,1
26-05-2021,C1081618305,gt65,Female,M348934600,Transportation,30.97,0
29-07-2021,C830078297,56to65,Female,M1823072687,Transportation,5.71,0
25-07-2021,C1710930627,26to35,Female,M1823072687,Transportation,42.84,0
22-07-2021,C44197733,26to35,Male,M1823072687,Transportation,51.8,0
17-04-2021,C811312110,36to45,Female,M1888755466,OtherServices,254.75,1
05-07-2021,C896659218,46to55,Female,M980657600,Sports&Toys,691.28,1
11-08-2021,C928481238,26to35,Male,M1198415165,Beauty&Wellness,439.69,1
15-04-2021,C2042503226,26to35,Female,M348934600,Transportation,78.77,0
06-06-2021,C1279668658,26to35,Male,M85975013,Groceries,39.87,0
08-08-2021,C477595630,46to55,Male,M1823072687,Transportation,39.04,0
10-07-2021,C179648560,46to55,Female,M348934600,Transportation,24.29,0
16-06-2021,C90085212,19to25,Male,M1823072687,Transportation,49.8,0
10-06-2021,C1777432937,36to45,Female,M85975013,Groceries,15.25,0
28-05-2021,C885283469,19to25,Female,M151143676,Restaurants&Bars,50.77,0
08-07-2021,C2055009466,46to55,Male,M1823072687,Transportation,22.58,0
13-04-2021,C71120756,36to45,Male,M348934600,Transportation,40.76,0
29-06-2021,C512338137,36to45,Male,M480139044,Health,585.52,1
24-08-2021,C910454738,46to55,Female,M923029380,Home,109.79,1
05-06-2021,C203163727,56to65,Female,M348934600,Transportation,29.38,0
05-08-2021,C784005201,46to55,Male,M348934600,Transportation,39.36,0
20-08-2021,C1316936887,46to55,Male,M348934600,Transportation,4.31,0
13-03-2021,C1823983599,26to35,Female,M348934600,Transportation,20.71,0
27-04-2021,C117112395,36to45,Female,M1741626453,Sports&Toys,270.96,1
02-06-2021,C229665572,56to65,Female,M348934600,Transportation,32.91,0
08-04-2021,C1105086283,19to25,Female,M348934600,Transportation,16.91,0
28-06-2021,C2001505633,56to65,Female,M1873032707,HotelServices,1032.14,1
07-03-2021,C1535419154,26to35,Female,M547558035,Fashion,67.58,0
13-04-2021,C660024200,26to35,Female,M732195782,Travel,5821.37,1
14-06-2021,C671524709,56to65,Female,M1823072687,Transportation,11.93,0
10-05-2021,C920335350,26to35,Female,M348934600,Transportation,7.79,0
02-05-2021,C503433561,46to55,Male,M1823072687,Transportation,29.52,0
15-07-2021,C544997662,26to35,Female,M209847108,Beauty&Wellness,107.25,0
04-04-2021,C57136184,gt65,Female,M980657600,Sports&Toys,16.6,1
26-03-2021,C1825950751,46to55,Female,M348934600,Transportation,14.88,0
03-03-2021,C365152877,26to35,Female,M1823072687,Transportation,6.17,0
21-05-2021,C332190038,36to45,Male,M980657600,Sports&Toys,676.56,1
22-08-2021,C1849046345,46to55,Female,M980657600,Sports&Toys,311.03,1
27-06-2021,C1992960127,36to45,Female,M1823072687,Transportation,31.89,0
22-04-2021,C1407767965,36to45,Female,M1823072687,Transportation,49.61,0
06-08-2021,C1189752912,26to35,Female,M348934600,Transportation,19.14,0
20-05-2021,C1423828273,26to35,Male,M1888755466,OtherServices,267.81,1
19-05-2021,C1620127338,26to35,Male,M348934600,Transportation,31.06,0
15-05-2021,C1885919902,36to45,Female,M1823072687,Transportation,54.72,0
02-03-2021,C923875417,56to65,Female,M348934600,Transportation,58.61,0
04-03-2021,C25759288,19to25,Male,M1946091778,Beauty&Wellness,162.97,0
13-05-2021,C1350963410,56to65,Female,M732195782,Travel,2250.3,1
29-03-2021,C1834864466,26to35,Male,M1823072687,Transportation,32.84,0
13-08-2021,C1647495093,36to45,Male,M1873032707,HotelServices,462.31,1
04-07-2021,C1597289593,46to55,Female,M1823072687,Transportation,26.8,0
26-06-2021,C1978080967,26to35,Male,M348934600,Transportation,0.58,0
28-05-2021,C2112631749,26to35,Female,M348934600,Transportation,37.05,0
21-03-2021,C1646298550,26to35,Female,M348934600,Transportation,2.69,0
08-04-2021,C1565058518,36to45,Male,M1823072687,Transportation,18.97,0
03-05-2021,C1156672988,56to65,Male,M1823072687,Transportation,42.12,0
30-06-2021,C587299231,26to35,Female,M480139044,Health,708.95,1
04-08-2021,C790600178,gt65,Male,M348934600,Transportation,22.16,0
03-06-2021,C226102422,46to55,Female,M348934600,Transportation,27.94,0
11-06-2021,C1048694975,46to55,Male,M348934600,Transportation,19.55,0
12-06-2021,C1350963410,56to65,Female,M480139044,Health,319.71,1
15-03-2021,C781096653,46to55,Female,M348934600,Transportation,38.53,0
17-08-2021,C1085056650,19to25,Female,M1823072687,Transportation,5.86,0
21-06-2021,C1763624260,gt65,Female,M1823072687,Transportation,10.9,0
01-05-2021,C623466885,36to45,Female,M1823072687,Transportation,31.85,0
24-05-2021,C1532144144,19to25,Male,M348934600,Transportation,14.89,0
29-04-2021,C1201848792,26to35,Female,M151143676,Restaurants&Bars,63.93,0
09-07-2021,C602544155,46to55,Male,M348934600,Transportation,1.36,0
18-07-2021,C1994178184,46to55,Male,M1198415165,Beauty&Wellness,24.33,1
07-07-2021,C1722275939,19to25,Female,M480139044,Health,126.22,1
24-06-2021,C1088768738,26to35,Female,M1823072687,Transportation,29.67,0
25-04-2021,C1266329800,46to55,Female,M348934600,Transportation,36.3,0
05-06-2021,C967677653,46to55,Female,M1823072687,Transportation,22.72,0
13-03-2021,C1433843082,46to55,Female,M1823072687,Transportation,7.87,0
20-04-2021,C394469483,36to45,Male,M1888755466,OtherServices,331.04,1
09-05-2021,C294914134,26to35,Female,M209847108,Beauty&Wellness,62.12,0
03-04-2021,C1568308501,36to45,Male,M3697346,Leisure,212.26,1
04-08-2021,C1523732855,26to35,Female,M732195782,Travel,1084.18,1
02-05-2021,C1561307190,36to45,Female,M1823072687,Transportation,13.54,0
28-04-2021,C1603928569,36to45,Female,M1823072687,Transportation,38.02,0
26-06-2021,C1013313546,26to35,Female,M980657600,Sports&Toys,74.48,1
20-05-2021,C855942730,36to45,Female,M348934600,Transportation,37.86,0
29-05-2021,C959506480,19to25,Female,M1823072687,Transportation,6.61,0
04-04-2021,C1438489717,36to45,Female,M1823072687,Transportation,61.6,0
20-03-2021,C998690782,26to35,Male,M1823072687,Transportation,39.88,0
17-05-2021,C1204740969,36to45,Male,M1823072687,Transportation,30.79,0
29-07-2021,C570913468,19to25,Female,M1823072687,Transportation,29.59,0
06-05-2021,C762614808,19to25,Male,M1823072687,Transportation,14.09,0
17-07-2021,C1978080967,26to35,Male,M348934600,Transportation,15.11,0
12-08-2021,C1333661820,26to35,Male,M1823072687,Transportation,16.59,0
28-04-2021,C693907036,36to45,Male,M348934600,Transportation,16.82,0
07-07-2021,C1468001998,36to45,Female,M1294758098,Leisure,193.93,1
04-07-2021,C1813823560,36to45,Female,M348934600,Transportation,7.34,0
29-06-2021,C908646797,36to45,Male,M480139044,Health,171.82,1
10-07-2021,C215334224,gt65,Male,M348934600,Transportation,16.64,0
25-05-2021,C962830776,26to35,Male,M1823072687,Transportation,17.4,0
17-08-2021,C910454738,46to55,Female,M151143676,Restaurants&Bars,480.63,1
15-06-2021,C402571153,46to55,Male,M1823072687,Transportation,68.9,0
25-03-2021,C105845174,36to45,Male,M348934600,Transportation,44.2,0
06-05-2021,C490238464,36to45,Male,M1823072687,Transportation,12.38,0
06-04-2021,C1228152586,19to25,Female,M348934600,Transportation,7.49,0
22-06-2021,C200882642,36to45,Male,M1823072687,Transportation,69.75,0
24-04-2021,C188084843,26to35,Male,M1535107174,Beauty&Wellness,211.44,0
28-03-2021,C2060410910,26to35,Female,M3697346,Leisure,229.51,1
21-05-2021,C1934886086,56to65,Male,M1823072687,Transportation,36.19,0
31-03-2021,C1307336396,26to35,Female,M348934600,Transportation,29.16,0
08-05-2021,C1736605496,46to55,Male,M1823072687,Transportation,45.34,0
14-06-2021,C918659260,36to45,Female,M1823072687,Transportation,31.3,0
16-08-2021,C57136184,gt65,Female,M980657600,Sports&Toys,368.76,1
15-06-2021,C909582983,36to45,Male,M480139044,Health,167.6,1
11-07-2021,C656405809,19to25,Male,M348934600,Transportation,55.23,0
29-06-2021,C1127983201,gt65,Female,M1823072687,Transportation,18.16,0
19-05-2021,C587299231,26to35,Female,M980657600,Sports&Toys,131.15,1
10-03-2021,C1367581052,46to55,Male,M857378720,HotelServices,378.11,1
20-07-2021,C616715154,26to35,Female,M2011752106,HotelServices,51.99,1
24-06-2021,C245117318,36to45,Female,M480139044,Health,375.68,1
06-08-2021,C384136428,19to25,Male,M348934600,Transportation,60.03,0
18-07-2021,C910454738,46to55,Female,M1649169323,Sports&Toys,670.02,1
24-03-2021,C2054744914,46to55,Female,M1823072687,Transportation,35.33,0
13-07-2021,C1469453217,19to25,Female,M348934600,Transportation,26.05,0
08-05-2021,C910454738,46to55,Female,M151143676,Restaurants&Bars,233.72,1
19-04-2021,C449179311,26to35,Male,M1873032707,HotelServices,450.18,1
24-04-2021,C1640022626,gt65,Male,M348934600,Transportation,50.69,0
16-05-2021,C1669649966,36to45,Female,M1823072687,Transportation,28.92,0
01-07-2021,C1043282651,26to35,Female,M349281107,Fashion,29.18,0
16-05-2021,C909525375,26to35,Male,M1823072687,Transportation,2.73,0
17-03-2021,C949116847,36to45,Male,M348934600,Transportation,15.51,0
04-08-2021,C1233405214,56to65,Female,M348934600,Transportation,17.43,0
25-05-2021,C1546278193,26to35,Female,M2122776122,Home,310.04,1
06-04-2021,C1818021493,26to35,Female,M348934600,Transportation,26.17,0
28-03-2021,C1923945958,26to35,Male,M1823072687,Transportation,7.08,0
11-04-2021,C168191673,19to25,Female,M348934600,Transportation,5.8,0
05-04-2021,C405614551,56to65,Female,M480139044,Health,114.69,0
17-04-2021,C483912131,26to35,Female,M480139044,Health,254.23,1
25-06-2021,C1778512686,19to25,Male,M348934600,Transportation,4.71,0
02-08-2021,C801383032,36to45,Male,M1823072687,Transportation,11.57,0
24-07-2021,C121798652,36to45,Female,M1823072687,Transportation,24.39,0
16-07-2021,C64700533,36to45,Female,M1823072687,Transportation,14.67,0
07-08-2021,C1966502638,36to45,Female,M1823072687,Transportation,0.6,0
24-07-2021,C1080813886,46to55,Male,M1873032707,HotelServices,349.98,1
21-05-2021,C617723960,46to55,Female,M980657600,Sports&Toys,354.21,1
22-06-2021,C1605182199,36to45,Female,M1823072687,Transportation,14.21,0
11-05-2021,C54876469,46to55,Male,M348934600,Transportation,37.7,0
03-08-2021,C227186054,gt65,Female,M1823072687,Transportation,24.13,0
10-08-2021,C1763371495,26to35,Female,M1823072687,Transportation,20.82,0
02-04-2021,C1605642067,19to25,Male,M1823072687,Transportation,11.8,0
09-03-2021,C441400844,36to45,Female,M348934600,Transportation,2.41,0
25-08-2021,C1969430351,36to45,Male,M78078399,Beauty&Wellness,98.61,0
31-07-2021,C1929968596,26to35,Female,M1823072687,Transportation,17.3,0
23-04-2021,C2027892936,46to55,Female,M732195782,Travel,3680.16,1
14-08-2021,C450299456,26to35,Female,M1823072687,Transportation,35.76,0
23-05-2021,C1714385979,36to45,Male,M348934600,Transportation,37.09,0
21-03-2021,C1849046345,46to55,Female,M692898500,Health,607.85,1
04-03-2021,C1714895875,26to35,Male,M980657600,Sports&Toys,44.8,1
